Территория,Пол,Год,Прибыл,Выбыл,Сальдо,Статус
Алтайский край,Женщины,2083,51212,54923,-3711,прогноз
Алтайский край,Женщины,2084,50971,55528,-4557,прогноз
Алтайский край,Женщины,2085,51227,55636,-4409,прогноз
Алтайский край,Женщины,2086,51758,55468,-3710,прогноз
Алтайский край,Женщины,2087,51517,56073,-4556,прогноз
Алтайский край,Женщины,2088,51773,56182,-4409,прогноз
Алтайский край,Женщины,2089,52304,56014,-3710,прогноз
Алтайский край,Женщины,2090,52063,56619,-4556,прогноз
Алтайский край,Женщины,2091,52318,56727,-4409,прогноз
Алтайский край,Женщины,2092,52850,56560,-3710,прогноз
Алтайский край,Женщины,2093,52608,57165,-4557,прогноз
Алтайский край,Женщины,2094,52864,57273,-4409,прогноз
Алтайский край,Женщины,2095,53396,57106,-3710,прогноз
Алтайский край,Женщины,2096,53154,57711,-4557,прогноз
Алтайский край,Женщины,2097,53410,57819,-4409,прогноз
Алтайский край,Женщины,2098,53941,57652,-3711,прогноз
Алтайский край,Женщины,2099,53700,58257,-4557,прогноз
Алтайский край,Женщины,2100,53956,58365,-4409,прогноз
Алтайский край,Мужчины,2017,37015,40432,-3417,наблюдение
Алтайский край,Мужчины,2018,40261,43258,-2997,наблюдение
Алтайский край,Мужчины,2019,40254,42006,-1752,наблюдение
Алтайский край,Мужчины,2020,32388,33306,-918,наблюдение
Алтайский край,Мужчины,2021,32991,33889,-898,наблюдение
Алтайский край,Мужчины,2022,31049,35328,-4279,наблюдение
Алтайский край,Мужчины,2023,29384,29855,-471,наблюдение
Алтайский край,Мужчины,2024,39126,40159,-1033,прогноз
Алтайский край,Мужчины,2025,38665,41499,-2834,прогноз
Алтайский край,Мужчины,2026,42037,46047,-4010,прогноз
Алтайский край,Мужчины,2027,43117,45326,-2209,прогноз
Алтайский край,Мужчины,2028,43884,44917,-1033,прогноз
Алтайский край,Мужчины,2029,43162,45997,-2835,прогноз
Алтайский край,Мужчины,2030,42754,46764,-4010,прогноз
Алтайский край,Мужчины,2031,43834,46042,-2208,прогноз
Алтайский край,Мужчины,2032,44600,45633,-1033,прогноз
Алтайский край,Мужчины,2033,43879,46713,-2834,прогноз
Алтайский край,Мужчины,2034,43470,47480,-4010,прогноз
Алтайский край,Мужчины,2035,44550,46758,-2208,прогноз
Алтайский край,Мужчины,2036,45317,46349,-1032,прогноз
Алтайский край,Мужчины,2037,44595,47429,-2834,прогноз
Алтайский край,Мужчины,2038,44186,48196,-4010,прогноз
Алтайский край,Мужчины,2039,45266,47474,-2208,прогноз
Алтайский край,Мужчины,2040,46033,47066,-1033,прогноз
Алтайский край,Мужчины,2041,45311,48146,-2835,прогноз
Алтайский край,Мужчины,2042,44903,48913,-4010,прогноз
Алтайский край,Мужчины,2043,45983,48191,-2208,прогноз
Алтайский край,Мужчины,2044,46749,47782,-1033,прогноз
Алтайский край,Мужчины,2045,46028,48862,-2834,прогноз
Алтайский край,Мужчины,2046,45619,49629,-4010,прогноз
Алтайский край,Мужчины,2047,46699,48907,-2208,прогноз
Алтайский край,Мужчины,2048,47466,48498,-1032,прогноз
Алтайский край,Мужчины,2049,46744,49578,-2834,прогноз
Алтайский край,Мужчины,2050,46335,50345,-4010,прогноз
Алтайский край,Мужчины,2051,47415,49623,-2208,прогноз
Алтайский край,Мужчины,2052,48182,49215,-1033,прогноз
Алтайский край,Мужчины,2053,47460,50295,-2835,прогноз
Алтайский край,Мужчины,2054,47051,51062,-4011,прогноз
Алтайский край,Мужчины,2055,48131,50340,-2209,прогноз
Алтайский край,Мужчины,2056,48898,49931,-1033,прогноз
Алтайский край,Мужчины,2057,48176,51011,-2835,прогноз
Алтайский край,Мужчины,2058,47768,51778,-4010,прогноз
Алтайский край,Мужчины,2059,48848,51056,-2208,прогноз
Алтайский край,Мужчины,2060,49615,50647,-1032,прогноз
Алтайский край,Мужчины,2061,48893,51727,-2834,прогноз
Алтайский край,Мужчины,2062,48484,52494,-4010,прогноз
Алтайский край,Мужчины,2063,49564,51772,-2208,прогноз
Алтайский край,Мужчины,2064,50331,51364,-1033,прогноз
Алтайский край,Мужчины,2065,49609,52444,-2835,прогноз
Алтайский край,Мужчины,2066,49200,53210,-4010,прогноз
Алтайский край,Мужчины,2067,50280,52489,-2209,прогноз
Алтайский край,Мужчины,2068,51047,52080,-1033,прогноз
Алтайский край,Мужчины,2069,50325,53160,-2835,прогноз
Алтайский край,Мужчины,2070,49917,53927,-4010,прогноз
Алтайский край,Мужчины,2071,50997,53205,-2208,прогноз
Алтайский край,Мужчины,2072,51764,52796,-1032,прогноз
Алтайский край,Мужчины,2073,51042,53876,-2834,прогноз
Алтайский край,Мужчины,2074,50633,54643,-4010,прогноз
Алтайский край,Мужчины,2075,51713,53921,-2208,прогноз
Алтайский край,Мужчины,2076,52480,53513,-1033,прогноз
Алтайский край,Мужчины,2077,51758,54593,-2835,прогноз
Алтайский край,Мужчины,2078,51349,55359,-4010,прогноз
Алтайский край,Мужчины,2079,52429,54638,-2209,прогноз
Алтайский край,Мужчины,2080,53196,54229,-1033,прогноз
Алтайский край,Мужчины,2081,52474,55309,-2835,прогноз
Алтайский край,Мужчины,2082,52066,56076,-4010,прогноз
Алтайский край,Мужчины,2083,53146,55354,-2208,прогноз
Алтайский край,Мужчины,2084,53912,54945,-1033,прогноз
Алтайский край,Мужчины,2085,53191,56025,-2834,прогноз
Алтайский край,Мужчины,2086,52782,56792,-4010,прогноз
Алтайский край,Мужчины,2087,53862,56070,-2208,прогноз
Алтайский край,Мужчины,2088,54629,55661,-1032,прогноз
Алтайский край,Мужчины,2089,53907,56741,-2834,прогноз
Алтайский край,Мужчины,2090,53498,57508,-4010,прогноз
Алтайский край,Мужчины,2091,54578,56786,-2208,прогноз
Алтайский край,Мужчины,2092,55345,56378,-1033,прогноз
Алтайский край,Мужчины,2093,54623,57458,-2835,прогноз
Алтайский край,Мужчины,2094,54215,58225,-4010,прогноз
Алтайский край,Мужчины,2095,55295,57503,-2208,прогноз
Алтайский край,Мужчины,2096,56061,57094,-1033,прогноз
Алтайский край,Мужчины,2097,55340,58174,-2834,прогноз
Алтайский край,Мужчины,2098,54931,58941,-4010,прогноз
Алтайский край,Мужчины,2099,56011,58219,-2208,прогноз
Алтайский край,Мужчины,2100,56778,57810,-1032,прогноз
Амурская область,Всего,2017,29584,31688,-2104,наблюдение
Амурская область,Всего,2018,29396,32788,-3392,наблюдение
Амурская область,Всего,2019,29604,29592,12,наблюдение
Амурская область,Всего,2020,24956,28100,-3144,наблюдение
Амурская область,Всего,2021,22027,24371,-2344,наблюдение
Амурская область,Всего,2022,24593,27657,-3064,наблюдение
Амурская область,Всего,2023,19777,22202,-2425,наблюдение
Амурская область,Всего,2024,29771,31685,-1914,прогноз
Амурская область,Всего,2025,32717,32818,-101,прогноз
Амурская область,Всего,2026,31256,34548,-3292,прогноз
Амурская область,Всего,2027,31456,34616,-3160,прогноз
Амурская область,Всего,2028,33177,33164,13,прогноз
Амурская область,Всего,2029,32279,34331,-2052,прогноз
Амурская область,Всего,2030,31832,35046,-3214,прогноз
Амурская область,Всего,2031,33127,34290,-1163,прогноз
Амурская область,Всего,2032,32847,34840,-1993,прогноз
Амурская область,Всего,2033,32929,35026,-2097,прогноз
Амурская область,Всего,2034,33469,34756,-1287,прогноз
Амурская область,Всего,2035,32689,35803,-3114,прогноз
Амурская область,Всего,2036,33424,35338,-1914,прогноз
Амурская область,Всего,2037,34465,34566,-101,прогноз
Амурская область,Всего,2038,33003,36296,-3293,прогноз
Амурская область,Всего,2039,33204,36364,-3160,прогноз
Амурская область,Всего,2040,34925,34912,13,прогноз
Амурская область,Всего,2041,34027,36078,-2051,прогноз
Амурская область,Всего,2042,33580,36794,-3214,прогноз
Амурская область,Всего,2043,34740,35903,-1163,прогноз
Амурская область,Всего,2044,34460,36452,-1992,прогноз
Амурская область,Всего,2045,34541,36640,-2099,прогноз
Амурская область,Всего,2046,35082,36368,-1286,прогноз
Амурская область,Всего,2047,34303,37417,-3114,прогноз
Амурская область,Всего,2048,35037,36951,-1914,прогноз
Амурская область,Всего,2049,36078,36179,-101,прогноз
Амурская область,Всего,2050,34617,37908,-3291,прогноз
Амурская область,Всего,2051,34817,37977,-3160,прогноз
Амурская область,Всего,2052,36538,36525,13,прогноз
Амурская область,Всего,2053,35640,37692,-2052,прогноз
Амурская область,Всего,2054,35193,38407,-3214,прогноз
Амурская область,Всего,2055,36353,37516,-1163,прогноз
Амурская область,Всего,2056,36073,38066,-1993,прогноз
Амурская область,Всего,2057,36155,38252,-2097,прогноз
Амурская область,Всего,2058,36694,37981,-1287,прогноз
Амурская область,Всего,2059,35915,39029,-3114,прогноз
Амурская область,Всего,2060,36649,38564,-1915,прогноз
Амурская область,Всего,2061,37690,37791,-101,прогноз
Амурская область,Всего,2062,36229,39522,-3293,прогноз
Амурская область,Всего,2063,36430,39589,-3159,прогноз
Амурская область,Всего,2064,38151,38138,13,прогноз
Амурская область,Всего,2065,37252,39304,-2052,прогноз
Амурская область,Всего,2066,36806,40020,-3214,прогноз
Амурская область,Всего,2067,37966,39128,-1162,прогноз
Амурская область,Всего,2068,37685,39678,-1993,прогноз
Амурская область,Всего,2069,37767,39865,-2098,прогноз
Амурская область,Всего,2070,38307,39594,-1287,прогноз
Амурская область,Всего,2071,37528,40641,-3113,прогноз
Амурская область,Всего,2072,38262,40176,-1914,прогноз
Амурская область,Всего,2073,39303,39404,-101,прогноз
Амурская область,Всего,2074,37842,41134,-3292,прогноз
Амурская область,Всего,2075,38043,41202,-3159,прогноз
Амурская область,Всего,2076,39763,39750,13,прогноз
Амурская область,Всего,2077,38866,40918,-2052,прогноз
Амурская область,Всего,2078,38419,41633,-3214,прогноз
Амурская область,Всего,2079,39579,40742,-1163,прогноз
Амурская область,Всего,2080,39298,41291,-1993,прогноз
Амурская область,Всего,2081,39380,41478,-2098,прогноз
Амурская область,Всего,2082,39920,41206,-1286,прогноз
Амурская область,Всего,2083,39141,42255,-3114,прогноз
Амурская область,Всего,2084,39875,41789,-1914,прогноз
Амурская область,Всего,2085,40916,41017,-101,прогноз
Амурская область,Всего,2086,39455,42747,-3292,прогноз
Амурская область,Всего,2087,39656,42815,-3159,прогноз
Амурская область,Всего,2088,41376,41364,12,прогноз
Амурская область,Всего,2089,40478,42530,-2052,прогноз
Амурская область,Всего,2090,40032,43246,-3214,прогноз
Амурская область,Всего,2091,41192,42354,-1162,прогноз
Амурская область,Всего,2092,40911,42904,-1993,прогноз
Амурская область,Всего,2093,40993,43090,-2097,прогноз
Амурская область,Всего,2094,41533,42820,-1287,прогноз
Амурская область,Всего,2095,40754,43867,-3113,прогноз
Амурская область,Всего,2096,41488,43402,-1914,прогноз
Амурская область,Всего,2097,42529,42630,-101,прогноз
Амурская область,Всего,2098,41068,44360,-3292,прогноз
Амурская область,Всего,2099,41269,44428,-3159,прогноз
Амурская область,Всего,2100,42989,42976,13,прогноз
Амурская область,Женщины,2017,14664,16262,-1598,наблюдение
Амурская область,Женщины,2018,14529,16608,-2079,наблюдение
Амурская область,Женщины,2019,13766,14886,-1120,наблюдение
Амурская область,Женщины,2020,12770,14175,-1405,наблюдение
Амурская область,Женщины,2021,11223,12885,-1662,наблюдение
Амурская область,Женщины,2022,12930,14368,-1438,наблюдение
Амурская область,Женщины,2023,9972,11462,-1490,наблюдение
Амурская область,Женщины,2024,14372,16052,-1680,прогноз
Амурская область,Женщины,2025,15381,17061,-1680,прогноз
Амурская область,Женщины,2026,15419,17159,-1740,прогноз
Амурская область,Женщины,2027,15484,17229,-1745,прогноз
Амурская область,Женщины,2028,15582,17267,-1685,прогноз
Амурская область,Женщины,2029,15653,17333,-1680,прогноз
Амурская область,Женщины,2030,15721,17401,-1680,прогноз
Амурская область,Женщины,2031,15789,17469,-1680,прогноз
Амурская область,Женщины,2032,15827,17567,-1740,прогноз
Амурская область,Женщины,2033,15893,17637,-1744,прогноз
Амурская область,Женщины,2034,15991,17676,-1685,прогноз
Амурская область,Женщины,2035,16061,17741,-1680,прогноз
Амурская область,Женщины,2036,16129,17809,-1680,прогноз
Амурская область,Женщины,2037,16197,17877,-1680,прогноз
Амурская область,Женщины,2038,16235,17975,-1740,прогноз
Амурская область,Женщины,2039,16301,18046,-1745,прогноз
Амурская область,Женщины,2040,16399,18084,-1685,прогноз
Амурская область,Женщины,2041,16469,18149,-1680,прогноз
Амурская область,Женщины,2042,16537,18217,-1680,прогноз
Амурская область,Женщины,2043,16605,18285,-1680,прогноз
Амурская область,Женщины,2044,16644,18383,-1739,прогноз
Амурская область,Женщины,2045,16709,18454,-1745,прогноз
Амурская область,Женщины,2046,16807,18492,-1685,прогноз
Амурская область,Женщины,2047,16878,18558,-1680,прогноз
Амурская область,Женщины,2048,16946,18626,-1680,прогноз
Амурская область,Женщины,2049,17014,18694,-1680,прогноз
Амурская область,Женщины,2050,17052,18791,-1739,прогноз
Амурская область,Женщины,2051,17117,18862,-1745,прогноз
Амурская область,Женщины,2052,17215,18900,-1685,прогноз
Амурская область,Женщины,2053,17286,18966,-1680,прогноз
Амурская область,Женщины,2054,17354,19034,-1680,прогноз
Амурская область,Женщины,2055,17422,19102,-1680,прогноз
Амурская область,Женщины,2056,17460,19200,-1740,прогноз
Амурская область,Женщины,2057,17526,19270,-1744,прогноз
Амурская область,Женщины,2058,17623,19308,-1685,прогноз
Амурская область,Женщины,2059,17694,19374,-1680,прогноз
Амурская область,Женщины,2060,17762,19442,-1680,прогноз
Амурская область,Женщины,2061,17830,19510,-1680,прогноз
Амурская область,Женщины,2062,17868,19608,-1740,прогноз
Амурская область,Женщины,2063,17934,19678,-1744,прогноз
Амурская область,Женщины,2064,18032,19717,-1685,прогноз
Амурская область,Женщины,2065,18102,19782,-1680,прогноз
Амурская область,Женщины,2066,18170,19850,-1680,прогноз
Амурская область,Женщины,2067,18238,19918,-1680,прогноз
Амурская область,Женщины,2068,18276,20016,-1740,прогноз
Амурская область,Женщины,2069,18342,20087,-1745,прогноз
Амурская область,Женщины,2070,18440,20125,-1685,прогноз
Амурская область,Женщины,2071,18510,20190,-1680,прогноз
Амурская область,Женщины,2072,18578,20258,-1680,прогноз
Амурская область,Женщины,2073,18646,20326,-1680,прогноз
Амурская область,Женщины,2074,18685,20424,-1739,прогноз
Амурская область,Женщины,2075,18750,20495,-1745,прогноз
Амурская область,Женщины,2076,18848,20533,-1685,прогноз
Амурская область,Женщины,2077,18919,20599,-1680,прогноз
Амурская область,Женщины,2078,18987,20667,-1680,прогноз
Амурская область,Женщины,2079,19055,20735,-1680,прогноз
Амурская область,Женщины,2080,19093,20833,-1740,прогноз
Амурская область,Женщины,2081,19158,20903,-1745,прогноз
Амурская область,Женщины,2082,19256,20941,-1685,прогноз
Амурская область,Женщины,2083,19327,21007,-1680,прогноз
Амурская область,Женщины,2084,19395,21075,-1680,прогноз
Амурская область,Женщины,2085,19463,21143,-1680,прогноз
Амурская область,Женщины,2086,19501,21241,-1740,прогноз
Амурская область,Женщины,2087,19567,21311,-1744,прогноз
Амурская область,Женщины,2088,19664,21350,-1686,прогноз
Амурская область,Женщины,2089,19735,21415,-1680,прогноз
Амурская область,Женщины,2090,19803,21483,-1680,прогноз
Амурская область,Женщины,2091,19871,21551,-1680,прогноз
Амурская область,Женщины,2092,19909,21649,-1740,прогноз
Амурская область,Женщины,2093,19975,21719,-1744,прогноз
Амурская область,Женщины,2094,20073,21758,-1685,прогноз
Амурская область,Женщины,2095,20143,21823,-1680,прогноз
Амурская область,Женщины,2096,20211,21891,-1680,прогноз
Амурская область,Женщины,2097,20279,21959,-1680,прогноз
Амурская область,Женщины,2098,20318,22057,-1739,прогноз
Амурская область,Женщины,2099,20383,22128,-1745,прогноз
Амурская область,Женщины,2100,20481,22166,-1685,прогноз
Амурская область,Мужчины,2017,14920,15426,-506,наблюдение
Амурская область,Мужчины,2018,14867,16180,-1313,наблюдение
Амурская область,Мужчины,2019,15838,14706,1132,наблюдение
Амурская область,Мужчины,2020,12186,13925,-1739,наблюдение
Амурская область,Мужчины,2021,10804,11486,-682,наблюдение
Амурская область,Мужчины,2022,11663,13289,-1626,наблюдение
Амурская область,Мужчины,2023,9805,10740,-935,наблюдение
Амурская область,Мужчины,2024,15399,15633,-234,прогноз
Амурская область,Мужчины,2025,17336,15757,1579,прогноз
Амурская область,Мужчины,2026,15837,17389,-1552,прогноз
Амурская область,Мужчины,2027,15972,17387,-1415,прогноз
Амурская область,Мужчины,2028,17595,15897,1698,прогноз
Амурская область,Мужчины,2029,16626,16998,-372,прогноз
Амурская область,Мужчины,2030,16111,17645,-1534,прогноз
Амурская область,Мужчины,2031,17338,16821,517,прогноз
Амурская область,Мужчины,2032,17020,17273,-253,прогноз
Амурская область,Мужчины,2033,17036,17389,-353,прогноз
Амурская область,Мужчины,2034,17478,17080,398,прогноз
Амурская область,Мужчины,2035,16628,18062,-1434,прогноз
Амурская область,Мужчины,2036,17295,17529,-234,прогноз
Амурская область,Мужчины,2037,18268,16689,1579,прогноз
Амурская область,Мужчины,2038,16768,18321,-1553,прогноз
Амурская область,Мужчины,2039,16903,18318,-1415,прогноз
Амурская область,Мужчины,2040,18526,16828,1698,прогноз
Амурская область,Мужчины,2041,17558,17929,-371,прогноз
Амурская область,Мужчины,2042,17043,18577,-1534,прогноз
Амурская область,Мужчины,2043,18135,17618,517,прогноз
Амурская область,Мужчины,2044,17816,18069,-253,прогноз
Амурская область,Мужчины,2045,17832,18186,-354,прогноз
Амурская область,Мужчины,2046,18275,17876,399,прогноз
Амурская область,Мужчины,2047,17425,18859,-1434,прогноз
Амурская область,Мужчины,2048,18091,18325,-234,прогноз
Амурская область,Мужчины,2049,19064,17485,1579,прогноз
Амурская область,Мужчины,2050,17565,19117,-1552,прогноз
Амурская область,Мужчины,2051,17700,19115,-1415,прогноз
Амурская область,Мужчины,2052,19323,17625,1698,прогноз
Амурская область,Мужчины,2053,18354,18726,-372,прогноз
Амурская область,Мужчины,2054,17839,19373,-1534,прогноз
Амурская область,Мужчины,2055,18931,18414,517,прогноз
Амурская область,Мужчины,2056,18613,18866,-253,прогноз
Амурская область,Мужчины,2057,18629,18982,-353,прогноз
Амурская область,Мужчины,2058,19071,18673,398,прогноз
Амурская область,Мужчины,2059,18221,19655,-1434,прогноз
Амурская область,Мужчины,2060,18887,19122,-235,прогноз
Амурская область,Мужчины,2061,19860,18281,1579,прогноз
Амурская область,Мужчины,2062,18361,19914,-1553,прогноз
Амурская область,Мужчины,2063,18496,19911,-1415,прогноз
Амурская область,Мужчины,2064,20119,18421,1698,прогноз
Амурская область,Мужчины,2065,19150,19522,-372,прогноз
Амурская область,Мужчины,2066,18636,20170,-1534,прогноз
Амурская область,Мужчины,2067,19728,19210,518,прогноз
Амурская область,Мужчины,2068,19409,19662,-253,прогноз
Амурская область,Мужчины,2069,19425,19778,-353,прогноз
