Территория,Пол,Год,e0,Статус
Алтайский край,Мужчины,2042,71.6,прогноз
Алтайский край,Мужчины,2043,71.91,прогноз
Алтайский край,Мужчины,2044,72.21,прогноз
Алтайский край,Мужчины,2045,72.51,прогноз
Алтайский край,Мужчины,2046,72.8,прогноз
Алтайский край,Мужчины,2047,73.08,прогноз
Алтайский край,Мужчины,2048,73.36,прогноз
Алтайский край,Мужчины,2049,73.64,прогноз
Алтайский край,Мужчины,2050,73.91,прогноз
Алтайский край,Мужчины,2051,74.17,прогноз
Алтайский край,Мужчины,2052,74.43,прогноз
Алтайский край,Мужчины,2053,74.69,прогноз
Алтайский край,Мужчины,2054,74.93,прогноз
Алтайский край,Мужчины,2055,75.18,прогноз
Алтайский край,Мужчины,2056,75.42,прогноз
Алтайский край,Мужчины,2057,75.66,прогноз
Алтайский край,Мужчины,2058,75.89,прогноз
Алтайский край,Мужчины,2059,76.12,прогноз
Алтайский край,Мужчины,2060,76.34,прогноз
Алтайский край,Мужчины,2061,76.56,прогноз
Алтайский край,Мужчины,2062,76.77,прогноз
Алтайский край,Мужчины,2063,76.98,прогноз
Алтайский край,Мужчины,2064,77.19,прогноз
Алтайский край,Мужчины,2065,77.39,прогноз
Алтайский край,Мужчины,2066,77.59,прогноз
Алтайский край,Мужчины,2067,77.79,прогноз
Алтайский край,Мужчины,2068,77.98,прогноз
Алтайский край,Мужчины,2069,78.17,прогноз
Алтайский край,Мужчины,2070,78.35,прогноз
Алтайский край,Мужчины,2071,78.53,прогноз
Алтайский край,Мужчины,2072,78.71,прогноз
Алтайский край,Мужчины,2073,78.88,прогноз
Алтайский край,Мужчины,2074,79.05,прогноз
Алтайский край,Мужчины,2075,79.22,прогноз
Алтайский край,Мужчины,2076,79.39,прогноз
Алтайский край,Мужчины,2077,79.55,прогноз
Алтайский край,Мужчины,2078,79.71,прогноз
Алтайский край,Мужчины,2079,79.86,прогноз
Алтайский край,Мужчины,2080,80.01,прогноз
Алтайский край,Мужчины,2081,80.16,прогноз
Алтайский край,Мужчины,2082,80.31,прогноз
Алтайский край,Мужчины,2083,80.46,прогноз
Алтайский край,Мужчины,2084,80.6,прогноз
Алтайский край,Мужчины,2085,80.74,прогноз
Алтайский край,Мужчины,2086,80.87,прогноз
Алтайский край,Мужчины,2087,81.01,прогноз
Алтайский край,Мужчины,2088,81.14,прогноз
Алтайский край,Мужчины,2089,81.27,прогноз
Алтайский край,Мужчины,2090,81.39,прогноз
Алтайский край,Мужчины,2091,81.52,прогноз
Алтайский край,Мужчины,2092,81.64,прогноз
Алтайский край,Мужчины,2093,81.76,прогноз
Алтайский край,Мужчины,2094,81.87,прогноз
Алтайский край,Мужчины,2095,81.99,прогноз
Алтайский край,Мужчины,2096,82.1,прогноз
Алтайский край,Мужчины,2097,82.21,прогноз
Алтайский край,Мужчины,2098,82.32,прогноз
Алтайский край,Мужчины,2099,82.43,прогноз
Алтайский край,Мужчины,2100,82.53,прогноз
Амурская область,Женщины,1990,73.2,наблюдение
Амурская область,Женщины,1991,72.6,наблюдение
Амурская область,Женщины,1992,71.9,наблюдение
Амурская область,Женщины,1993,69.9,наблюдение
Амурская область,Женщины,1994,68.9,наблюдение
Амурская область,Женщины,1995,69.9,наблюдение
Амурская область,Женщины,1996,69.3,наблюдение
Амурская область,Женщины,1997,70.4,наблюдение
Амурская область,Женщины,1998,70.8,наблюдение
Амурская область,Женщины,1999,69.9,наблюдение
Амурская область,Женщины,2000,69.3,наблюдение
Амурская область,Женщины,2001,68.5,наблюдение
Амурская область,Женщины,2002,68.4,наблюдение
Амурская область,Женщины,2003,68.0,наблюдение
Амурская область,Женщины,2004,67.6,наблюдение
Амурская область,Женщины,2005,67.8,наблюдение
Амурская область,Женщины,2006,69.1,наблюдение
Амурская область,Женщины,2007,70.2,наблюдение
Амурская область,Женщины,2008,69.8,наблюдение
Амурская область,Женщины,2009,70.7,наблюдение
Амурская область,Женщины,2010,71.0,наблюдение
Амурская область,Женщины,2011,71.42,наблюдение
Амурская область,Женщины,2012,71.47,наблюдение
Амурская область,Женщины,2013,72.52,наблюдение
Амурская область,Женщины,2014,72.94,наблюдение
Амурская область,Женщины,2015,73.11,наблюдение
Амурская область,Женщины,2016,74.02,наблюдение
Амурская область,Женщины,2017,74.39,наблюдение
Амурская область,Женщины,2018,73.9,наблюдение
Амурская область,Женщины,2019,73.61,наблюдение
Амурская область,Женщины,2020,72.47,наблюдение
Амурская область,Женщины,2021,70.81,наблюдение
Амурская область,Женщины,2022,74.22,наблюдение
Амурская область,Женщины,2023,74.74,наблюдение
Амурская область,Женщины,2024,75.18,прогноз
Амурская область,Женщины,2025,75.6,прогноз
Амурская область,Женщины,2026,76.02,прогноз
Амурская область,Женщины,2027,76.42,прогноз
Амурская область,Женщины,2028,76.82,прогноз
Амурская область,Женщины,2029,77.2,прогноз
Амурская область,Женщины,2030,77.58,прогноз
Амурская область,Женщины,2031,77.94,прогноз
Амурская область,Женщины,2032,78.3,прогноз
Амурская область,Женщины,2033,78.64,прогноз
Амурская область,Женщины,2034,78.98,прогноз
Амурская область,Женщины,2035,79.31,прогноз
Амурская область,Женщины,2036,79.63,прогноз
Амурская область,Женщины,2037,79.95,прогноз
Амурская область,Женщины,2038,80.25,прогноз
Амурская область,Женщины,2039,80.55,прогноз
Амурская область,Женщины,2040,80.84,прогноз
Амурская область,Женщины,2041,81.12,прогноз
Амурская область,Женщины,2042,81.4,прогноз
Амурская область,Женщины,2043,81.67,прогноз
Амурская область,Женщины,2044,81.93,прогноз
Амурская область,Женщины,2045,82.18,прогноз
Амурская область,Женщины,2046,82.43,прогноз
Амурская область,Женщины,2047,82.67,прогноз
Амурская область,Женщины,2048,82.91,прогноз
Амурская область,Женщины,2049,83.14,прогноз
Амурская область,Женщины,2050,83.36,прогноз
Амурская область,Женщины,2051,83.58,прогноз
Амурская область,Женщины,2052,83.8,прогноз
Амурская область,Женщины,2053,84.0,прогноз
Амурская область,Женщины,2054,84.21,прогноз
Амурская область,Женщины,2055,84.4,прогноз
Амурская область,Женщины,2056,84.6,прогноз
Амурская область,Женщины,2057,84.78,прогноз
Амурская область,Женщины,2058,84.97,прогноз
Амурская область,Женщины,2059,85.14,прогноз
Амурская область,Женщины,2060,85.32,прогноз
Амурская область,Женщины,2061,85.49,прогноз
Амурская область,Женщины,2062,85.65,прогноз
Амурская область,Женщины,2063,85.81,прогноз
Амурская область,Женщины,2064,85.97,прогноз
Амурская область,Женщины,2065,86.12,прогноз
Амурская область,Женщины,2066,86.27,прогноз
Амурская область,Женщины,2067,86.42,прогноз
Амурская область,Женщины,2068,86.56,прогноз
Амурская область,Женщины,2069,86.69,прогноз
Амурская область,Женщины,2070,86.83,прогноз
Амурская область,Женщины,2071,86.96,прогноз
Амурская область,Женщины,2072,87.09,прогноз
Амурская область,Женщины,2073,87.21,прогноз
Амурская область,Женщины,2074,87.33,прогноз
Амурская область,Женщины,2075,87.45,прогноз
Амурская область,Женщины,2076,87.57,прогноз
Амурская область,Женщины,2077,87.68,прогноз
Амурская область,Женщины,2078,87.79,прогноз
Амурская область,Женщины,2079,87.89,прогноз
Амурская область,Женщины,2080,88.0,прогноз
Амурская область,Женщины,2081,88.1,прогноз
Амурская область,Женщины,2082,88.2,прогноз
Амурская область,Женщины,2083,88.3,прогноз
Амурская область,Женщины,2084,88.39,прогноз
Амурская область,Женщины,2085,88.48,прогноз
Амурская область,Женщины,2086,88.57,прогноз
Амурская область,Женщины,2087,88.66,прогноз
Амурская область,Женщины,2088,88.74,прогноз
Амурская область,Женщины,2089,88.82,прогноз
Амурская область,Женщины,2090,88.9,прогноз
Амурская область,Женщины,2091,88.98,прогноз
Амурская область,Женщины,2092,89.06,прогноз
Амурская область,Женщины,2093,89.13,прогноз
Амурская область,Женщины,2094,89.21,прогноз
Амурская область,Женщины,2095,89.28,прогноз
Амурская область,Женщины,2096,89.35,прогноз
Амурская область,Женщины,2097,89.41,прогноз
Амурская область,Женщины,2098,89.48,прогноз
Амурская область,Женщины,2099,89.54,прогноз
Амурская область,Женщины,2100,89.6,прогноз
Амурская область,Мужчины,1990,62.7,наблюдение
Амурская область,Мужчины,1991,62.5,наблюдение
Амурская область,Мужчины,1992,60.3,наблюдение
Амурская область,Мужчины,1993,56.9,наблюдение
Амурская область,Мужчины,1994,56.3,наблюдение
Амурская область,Мужчины,1995,57.1,наблюдение
Амурская область,Мужчины,1996,57.3,наблюдение
Амурская область,Мужчины,1997,57.8,наблюдение
Амурская область,Мужчины,1998,58.9,наблюдение
Амурская область,Мужчины,1999,57.3,наблюдение
Амурская область,Мужчины,2000,56.1,наблюдение
Амурская область,Мужчины,2001,55.4,наблюдение
Амурская область,Мужчины,2002,55.0,наблюдение
Амурская область,Мужчины,2003,55.0,наблюдение
Амурская область,Мужчины,2004,54.2,наблюдение
Амурская область,Мужчины,2005,54.0,наблюдение
Амурская область,Мужчины,2006,56.0,наблюдение
Амурская область,Мужчины,2007,58.0,наблюдение
Амурская область,Мужчины,2008,57.6,наблюдение
Амурская область,Мужчины,2009,58.4,наблюдение
Амурская область,Мужчины,2010,58.5,наблюдение
Амурская область,Мужчины,2011,58.87,наблюдение
Амурская область,Мужчины,2012,59.24,наблюдение
Амурская область,Мужчины,2013,60.55,наблюдение
Амурская область,Мужчины,2014,61.26,наблюдение
Амурская область,Мужчины,2015,61.56,наблюдение
Амурская область,Мужчины,2016,62.58,наблюдение
Амурская область,Мужчины,2017,63.55,наблюдение
Амурская область,Мужчины,2018,63.96,наблюдение
Амурская область,Мужчины,2019,63.4,наблюдение
Амурская область,Мужчины,2020,62.17,наблюдение
Амурская область,Мужчины,2021,61.66,наблюдение
Амурская область,Мужчины,2022,62.58,наблюдение
Амурская область,Мужчины,2023,62.3,наблюдение
Амурская область,Мужчины,2024,62.94,прогноз
Амурская область,Мужчины,2025,63.56,прогноз
Амурская область,Мужчины,2026,64.17,прогноз
Амурская область,Мужчины,2027,64.76,прогноз
Амурская область,Мужчины,2028,65.34,прогноз
Амурская область,Мужчины,2029,65.91,прогноз
Амурская область,Мужчины,2030,66.46,прогноз
Амурская область,Мужчины,2031,66.99,прогноз
Амурская область,Мужчины,2032,67.51,прогноз
Амурская область,Мужчины,2033,68.02,прогноз
Амурская область,Мужчины,2034,68.52,прогноз
Амурская область,Мужчины,2035,69.01,прогноз
Амурская область,Мужчины,2036,69.48,прогноз
Амурская область,Мужчины,2037,69.94,прогноз
Амурская область,Мужчины,2038,70.39,прогноз
Амурская область,Мужчины,2039,70.83,прогноз
Амурская область,Мужчины,2040,71.25,прогноз
Амурская область,Мужчины,2041,71.67,прогноз
Амурская область,Мужчины,2042,72.08,прогноз
Амурская область,Мужчины,2043,72.47,прогноз
Амурская область,Мужчины,2044,72.86,прогноз
Амурская область,Мужчины,2045,73.24,прогноз
Амурская область,Мужчины,2046,73.6,прогноз
Амурская область,Мужчины,2047,73.96,прогноз
Амурская область,Мужчины,2048,74.31,прогноз
Амурская область,Мужчины,2049,74.65,прогноз
Амурская область,Мужчины,2050,74.98,прогноз
Амурская область,Мужчины,2051,75.31,прогноз
Амурская область,Мужчины,2052,75.62,прогноз
Амурская область,Мужчины,2053,75.93,прогноз
Амурская область,Мужчины,2054,76.23,прогноз
Амурская область,Мужчины,2055,76.52,прогноз
Амурская область,Мужчины,2056,76.81,прогноз
Амурская область,Мужчины,2057,77.09,прогноз
Амурская область,Мужчины,2058,77.36,прогноз
Амурская область,Мужчины,2059,77.62,прогноз
Амурская область,Мужчины,2060,77.88,прогноз
Амурская область,Мужчины,2061,78.13,прогноз
Амурская область,Мужчины,2062,78.38,прогноз
Амурская область,Мужчины,2063,78.62,прогноз
Амурская область,Мужчины,2064,78.85,прогноз
Амурская область,Мужчины,2065,79.08,прогноз
Амурская область,Мужчины,2066,79.3,прогноз
Амурская область,Мужчины,2067,79.52,прогноз
Амурская область,Мужчины,2068,79.73,прогноз
Амурская область,Мужчины,2069,79.93,прогноз
Амурская область,Мужчины,2070,80.14,прогноз
Амурская область,Мужчины,2071,80.33,прогноз
Амурская область,Мужчины,2072,80.52,прогноз
Амурская область,Мужчины,2073,80.71,прогноз
Амурская область,Мужчины,2074,80.89,прогноз
Амурская область,Мужчины,2075,81.07,прогноз
Амурская область,Мужчины,2076,81.24,прогноз
Амурская область,Мужчины,2077,81.41,прогноз
Амурская область,Мужчины,2078,81.57,прогноз
Амурская область,Мужчины,2079,81.73,прогноз
Амурская область,Мужчины,2080,81.89,прогноз
Амурская область,Мужчины,2081,82.04,прогноз
Амурская область,Мужчины,2082,82.19,прогноз
Амурская область,Мужчины,2083,82.33,прогноз
Амурская область,Мужчины,2084,82.47,прогноз
Амурская область,Мужчины,2085,82.61,прогноз
Амурская область,Мужчины,2086,82.74,прогноз
Амурская область,Мужчины,2087,82.88,прогноз
Амурская область,Мужчины,2088,83.0,прогноз
Амурская область,Мужчины,2089,83.13,прогноз
Амурская область,Мужчины,2090,83.25,прогноз
Амурская область,Мужчины,2091,83.37,прогноз
Амурская область,Мужчины,2092,83.48,прогноз
Амурская область,Мужчины,2093,83.59,прогноз
Амурская область,Мужчины,2094,83.7,прогноз
Амурская область,Мужчины,2095,83.81,прогноз
Амурская область,Мужчины,2096,83.91,прогноз
Амурская область,Мужчины,2097,84.02,прогноз
Амурская область,Мужчины,2098,84.12,прогноз
Амурская область,Мужчины,2099,84.21,прогноз
Амурская область,Мужчины,2100,84.31,прогноз
Архангельская область,Женщины,1990,74.3,наблюдение
Архангельская область,Женщины,1991,74.4,наблюдение
Архангельская область,Женщины,1992,73.0,наблюдение
Архангельская область,Женщины,1993,70.8,наблюдение
Архангельская область,Женщины,1994,69.6,наблюдение
Архангельская область,Женщины,1995,70.5,наблюдение
Архангельская область,Женщины,1996,71.7,наблюдение
Архангельская область,Женщины,1997,72.0,наблюдение
Архангельская область,Женщины,1998,72.5,наблюдение
Архангельская область,Женщины,1999,70.8,наблюдение
Архангельская область,Женщины,2000,70.6,наблюдение
Архангельская область,Женщины,2001,71.1,наблюдение
Архангельская область,Женщины,2002,70.2,наблюдение
Архангельская область,Женщины,2003,69.9,наблюдение
Архангельская область,Женщины,2004,70.5,наблюдение
Архангельская область,Женщины,2005,71.1,наблюдение
Архангельская область,Женщины,2006,72.3,наблюдение
Архангельская область,Женщины,2007,73.4,наблюдение
Архангельская область,Женщины,2008,74.1,наблюдение
Архангельская область,Женщины,2009,74.5,наблюдение
Архангельская область,Женщины,2010,74.5,наблюдение
Архангельская область,Женщины,2011,74.94,наблюдение
Архангельская область,Женщины,2012,75.54,наблюдение
Архангельская область,Женщины,2013,76.08,наблюдение
Архангельская область,Женщины,2014,76.08,наблюдение
Архангельская область,Женщины,2015,76.31,наблюдение
Архангельская область,Женщины,2016,76.35,наблюдение
Архангельская область,Женщины,2017,77.28,наблюдение
Архангельская область,Женщины,2018,77.16,наблюдение
Архангельская область,Женщины,2019,77.05,наблюдение
Архангельская область,Женщины,2020,76.32,наблюдение
Архангельская область,Женщины,2021,74.34,наблюдение
Архангельская область,Женщины,2022,76.62,наблюдение
Архангельская область,Женщины,2023,77.83,наблюдение
Архангельская область,Женщины,2024,78.25,прогноз
Архангельская область,Женщины,2025,78.65,прогноз
Архангельская область,Женщины,2026,79.04,прогноз
Архангельская область,Женщины,2027,79.42,прогноз
Архангельская область,Женщины,2028,79.79,прогноз
Архангельская область,Женщины,2029,80.15,прогноз
Архангельская область,Женщины,2030,80.5,прогноз
Архангельская область,Женщины,2031,80.83,прогноз
Архангельская область,Женщины,2032,81.16,прогноз
Архангельская область,Женщины,2033,81.48,прогноз
Архангельская область,Женщины,2034,81.79,прогноз
Архангельская область,Женщины,2035,82.09,прогноз
Архангельская область,Женщины,2036,82.38,прогноз
Архангельская область,Женщины,2037,82.66,прогноз
Архангельская область,Женщины,2038,82.94,прогноз
Архангельская область,Женщины,2039,83.2,прогноз
Архангельская область,Женщины,2040,83.46,прогноз
Архангельская область,Женщины,2041,83.71,прогноз
Архангельская область,Женщины,2042,83.95,прогноз
Архангельская область,Женщины,2043,84.19,прогноз
Архангельская область,Женщины,2044,84.42,прогноз
Архангельская область,Женщины,2045,84.64,прогноз
Архангельская область,Женщины,2046,84.86,прогноз
Архангельская область,Женщины,2047,85.07,прогноз
Архангельская область,Женщины,2048,85.27,прогноз
Архангельская область,Женщины,2049,85.47,прогноз
Архангельская область,Женщины,2050,85.66,прогноз
Архангельская область,Женщины,2051,85.85,прогноз
Архангельская область,Женщины,2052,86.03,прогноз
Архангельская область,Женщины,2053,86.2,прогноз
Архангельская область,Женщины,2054,86.37,прогноз
Архангельская область,Женщины,2055,86.54,прогноз
Архангельская область,Женщины,2056,86.7,прогноз
Архангельская область,Женщины,2057,86.85,прогноз
Архангельская область,Женщины,2058,87.01,прогноз
Архангельская область,Женщины,2059,87.15,прогноз
Архангельская область,Женщины,2060,87.29,прогноз
Архангельская область,Женщины,2061,87.43,прогноз
Архангельская область,Женщины,2062,87.57,прогноз
Архангельская область,Женщины,2063,87.7,прогноз
Архангельская область,Женщины,2064,87.82,прогноз
Архангельская область,Женщины,2065,87.95,прогноз
Архангельская область,Женщины,2066,88.06,прогноз
Архангельская область,Женщины,2067,88.18,прогноз
Архангельская область,Женщины,2068,88.29,прогноз
Архангельская область,Женщины,2069,88.4,прогноз
Архангельская область,Женщины,2070,88.51,прогноз
Архангельская область,Женщины,2071,88.61,прогноз
Архангельская область,Женщины,2072,88.71,прогноз
Архангельская область,Женщины,2073,88.81,прогноз
Архангельская область,Женщины,2074,88.9,прогноз
Архангельская область,Женщины,2075,88.99,прогноз
Архангельская область,Женщины,2076,89.08,прогноз
Архангельская область,Женщины,2077,89.16,прогноз
Архангельская область,Женщины,2078,89.25,прогноз
Архангельская область,Женщины,2079,89.33,прогноз
Архангельская область,Женщины,2080,89.41,прогноз
Архангельская область,Женщины,2081,89.48,прогноз
Архангельская область,Женщины,2082,89.56,прогноз
Архангельская область,Женщины,2083,89.63,прогноз
Архангельская область,Женщины,2084,89.7,прогноз
Архангельская область,Женщины,2085,89.77,прогноз
Архангельская область,Женщины,2086,89.83,прогноз
Архангельская область,Женщины,2087,89.89,прогноз
Архангельская область,Женщины,2088,89.96,прогноз
Архангельская область,Женщины,2089,90.02,прогноз
Архангельская область,Женщины,2090,90.07,прогноз
Архангельская область,Женщины,2091,90.13,прогноз
Архангельская область,Женщины,2092,90.19,прогноз
Архангельская область,Женщины,2093,90.24,прогноз
Архангельская область,Женщины,2094,90.29,прогноз
Архангельская область,Женщины,2095,90.34,прогноз
Архангельская область,Женщины,2096,90.39,прогноз
Архангельская область,Женщины,2097,90.44,прогноз
Архангельская область,Женщины,2098,90.48,прогноз
Архангельская область,Женщины,2099,90.53,прогноз
Архангельская область,Женщины,2100,90.57,прогноз
Архангельская область,Мужчины,1990,63.7,наблюдение
Архангельская область,Мужчины,1991,63.6,наблюдение
Архангельская область,Мужчины,1992,60.2,наблюдение
Архангельская область,Мужчины,1993,56.8,наблюдение
Архангельская область,Мужчины,1994,55.3,наблюдение
Архангельская область,Мужчины,1995,56.4,наблюдение
Архангельская область,Мужчины,1996,57.7,наблюдение
Архангельская область,Мужчины,1997,60.0,наблюдение
Архангельская область,Мужчины,1998,59.7,наблюдение
Архангельская область,Мужчины,1999,57.0,наблюдение
Архангельская область,Мужчины,2000,56.3,наблюдение
Архангельская область,Мужчины,2001,56.4,наблюдение
Архангельская область,Мужчины,2002,55.7,наблюдение
Архангельская область,Мужчины,2003,55.4,наблюдение
Архангельская область,Мужчины,2004,55.6,наблюдение
Архангельская область,Мужчины,2005,56.2,наблюдение
Архангельская область,Мужчины,2006,58.4,наблюдение
Архангельская область,Мужчины,2007,59.8,наблюдение
