region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon
43,Кировская область,КИР,Приволжский федеральный округ,11,5,True
44,Костромская область,КОС,Центральный федеральный округ,6,3,True
45,Курганская область,КУРГ,Уральский федеральный округ,15,6,True
46,Курская область,КУР,Центральный федеральный округ,5,5,True
47,Ленинградская область,ЛЕН,Северо-Западный федеральный округ,2,1,True
48,Липецкая область,ЛИП,Центральный федеральный округ,6,5,True
49,Магаданская область,МАГ,Дальневосточный федеральный округ,25,2,True
50,Московская область,МОСО,Центральный федеральный округ,8,3,True
51,Мурманская область,МУР,Северо-Западный федеральный округ,0,0,True
52,Нижегородская область,НИЖ,Приволжский федеральный округ,10,5,True
53,Новгородская область,НВГ,Северо-Западный федеральный округ,3,1,True
54,Новосибирская область,НСО,Сибирский федеральный округ,19,5,True
55,Омская область,ОМС,Сибирский федеральный округ,18,5,True
56,Оренбургская область,ОРЕ,Приволжский федеральный округ,12,7,True
57,Орловская область,ОРЛ,Центральный федеральный округ,9,4,True
58,Пензенская область,ПЕН,Приволжский федеральный округ,13,6,True
59,Пермский край,ПЕР,Приволжский федеральный округ,12,5,True
60,Псковская область,ПСК,Северо-Западный федеральный округ,0,2,True
61,Ростовская область,РОС,Южный федеральный округ,3,8,True
62,Рязанская область,РЯЗ,Центральный федеральный округ,4,5,True
63,Самарская область,САМ,Приволжский федеральный округ,10,7,True
64,Саратовская область,САР,Приволжский федеральный округ,11,7,True
65,Сахалинская область,САХ,Дальневосточный федеральный округ,24,4,True
66,Свердловская область,СВР,Уральский федеральный округ,15,5,True
67,Смоленская область,СМЛ,Центральный федеральный округ,7,3,True
68,Тамбовская область,ТАМ,Центральный федеральный округ,7,5,True
69,Тверская область,ТВЕ,Центральный федеральный округ,4,3,True
70,Томская область,ТОМ,Сибирский федеральный округ,20,5,True
71,Тульская область,ТУЛ,Центральный федеральный округ,5,4,True
72,Тюменская область,ТЮМ,Уральский федеральный округ,16,6,True
73,Ульяновская область,УЛЬ,Приволжский федеральный округ,14,6,True
74,Челябинская область,ЧЕЛ,Уральский федеральный округ,17,6,True
75,Забайкальский край,ЗАБ,Дальневосточный федеральный округ,22,3,True
76,Ярославская область,ЯРС,Центральный федеральный округ,5,3,True
77,Москва,МСК,Центральный федеральный округ,9,3,True
78,Санкт-Петербург,СПБ,Северо-Западный федеральный округ,1,1,True
79,Еврейская автономная область,ЕАО,Дальневосточный федеральный округ,25,3,True
83,Ненецкий автономный округ,НАО,Северо-Западный федеральный округ,3,0,True
86,Ханты-Мансийский автономный округ - Югра,ХМАО,Уральский федеральный округ,16,5,True
87,Чукотский автономный округ,ЧУК,Дальневосточный федеральный округ,23,2,True
89,Ямало-Ненецкий автономный округ,ЯНАО,Уральский федеральный округ,17,5,True
90,Запорожская область,ЗАП,Новые регионы / Южный макрорегион,9,9,True
91,Республика Крым,КРЫ,Южный федеральный округ,5,9,True
92,Севастополь,СЕВ,Южный федеральный округ,6,9,True
93,Донецкая Народная Республика,ДНР,Новые регионы / Южный макрорегион,7,9,True
94,Луганская Народная Республика,ЛНР,Новые регионы / Южный макрорегион,8,9,True
95,Херсонская область,ХЕР,Новые регионы / Южный макрорегион,10,9,True
