activity_id,federal_project,activity,declared_scale,indicator_code,relationship_type
A14,Охрана материнства и детства,Оснащение перинатальных центров и родильных домов медицинскими изделиями,133 региональных и 9 федеральных перинатальных центров/роддомов,2.14.Я3.2,indirect
A14,Охрана материнства и детства,Оснащение перинатальных центров и родильных домов медицинскими изделиями,133 региональных и 9 федеральных перинатальных центров/роддомов,2.14.Я.2,indirect
A15,Охрана материнства и детства,Оснащение детских больниц медицинскими изделиями,180 детских больниц,2.14.Я3.3,direct
A15,Охрана материнства и детства,Оснащение детских больниц медицинскими изделиями,180 детских больниц,2.14.Я3.4,direct
A16,Охрана материнства и детства,Приобретение мобильных медицинских комплексов для детских поликлиник,526 в субъектах РФ и 10 для ФМБА,2.14.Я3.4,direct
A16,Охрана материнства и детства,Приобретение мобильных медицинских комплексов для детских поликлиник,526 в субъектах РФ и 10 для ФМБА,2.14.Я3.3,indirect
A17,Охрана материнства и детства,Проведение циклов ЭКО,485 тыс. циклов ЭКО,2.14.Я.2,direct
A17,Охрана материнства и детства,Проведение циклов ЭКО,485 тыс. циклов ЭКО,2.14.Я3.1,indirect
A18,Охрана материнства и детства,Реализация региональных программ по охране материнства и детства во всех регионах,все регионы,2.14.Я3.1,direct
A18,Охрана материнства и детства,Реализация региональных программ по охране материнства и детства во всех регионах,все регионы,2.14.Я3.2,direct
A18,Охрана материнства и детства,Реализация региональных программ по охране материнства и детства во всех регионах,все регионы,2.14.Я3.3,direct
A18,Охрана материнства и детства,Реализация региональных программ по охране материнства и детства во всех регионах,все регионы,2.14.Я3.4,direct
A18,Охрана материнства и детства,Реализация региональных программ по охране материнства и детства во всех регионах,все регионы,2.14.Я3.5,direct
A19,Старшее поколение,Ремонт объектов социального обслуживания,43 объекта,2.14.Я.4,indirect
A20,Старшее поколение,Реализация региональных программ «Активное долголетие»,все регионы,2.14.Я4.1,direct
A20,Старшее поколение,Реализация региональных программ «Активное долголетие»,все регионы,2.14.Я.4,indirect
A21,Старшее поколение,Развивающие и образовательные мероприятия в центрах общения для граждан старшего поколения,более 31 тыс. мероприятий,2.14.Я4.1,direct
A22,Старшее поколение,Предоставление услуг долговременного ухода нуждающимся,не менее 500 тыс. человек,2.14.Я.4,direct
A23,Старшее поколение,Ввод объектов для размещения граждан в стационарных организациях социального обслуживания,"не менее 122 объектов, более 6,9 тыс. мест",2.14.Я.4,indirect
A24,Семейные ценности и инфраструктура культуры,Строительство и модернизация детских школ искусств,не менее 1011 ДШИ,2.14.Я5.2,direct
A24,Семейные ценности и инфраструктура культуры,Строительство и модернизация детских школ искусств,не менее 1011 ДШИ,2.14.Я.6,indirect
A25,Семейные ценности и инфраструктура культуры,"Модернизация культурно-досуговых учреждений, библиотек, театров и музеев","450 КДУ, 420 библиотек, 100 театров, 250 музеев",2.14.Я5.2,direct
A25,Семейные ценности и инфраструктура культуры,"Модернизация культурно-досуговых учреждений, библиотек, театров и музеев","450 КДУ, 420 библиотек, 100 театров, 250 музеев",2.14.Я.6,indirect
A26,Семейные ценности и инфраструктура культуры,"Оснащение театров, музеев, детских школ искусств, училищ, кинозалов","410 театров, 2,1 тыс. музеев, 3,6 тыс. ДШИ/училищ, 2,4 тыс. кинозалов",2.14.Я.5,direct
A26,Семейные ценности и инфраструктура культуры,"Оснащение театров, музеев, детских школ искусств, училищ, кинозалов","410 театров, 2,1 тыс. музеев, 3,6 тыс. ДШИ/училищ, 2,4 тыс. кинозалов",2.14.Я5.2,direct
A26,Семейные ценности и инфраструктура культуры,"Оснащение театров, музеев, детских школ искусств, училищ, кинозалов","410 театров, 2,1 тыс. музеев, 3,6 тыс. ДШИ/училищ, 2,4 тыс. кинозалов",2.14.Я.6,indirect
A27,Семейные ценности и инфраструктура культуры,Создание модельных библиотек и памятных мест,"2,5 тыс. библиотек, 310 памятных мест",2.14.Я5.2,direct
A27,Семейные ценности и инфраструктура культуры,Создание модельных библиотек и памятных мест,"2,5 тыс. библиотек, 310 памятных мест",2.14.Я.6,indirect
A28,Семейные ценности и инфраструктура культуры,Творческие проекты НКО и выставочные проекты музеев по ценностям и идентичности,"1,3 тыс. проектов НКО, 390 проектов по традиционным ценностям, 144 выставочных проекта",2.14.Я5.1,direct
A28,Семейные ценности и инфраструктура культуры,Творческие проекты НКО и выставочные проекты музеев по ценностям и идентичности,"1,3 тыс. проектов НКО, 390 проектов по традиционным ценностям, 144 выставочных проекта",2.14.Я5.2,indirect
A29,Семейные ценности и инфраструктура культуры,Культурно-просветительские программы для школьников,479 программ,2.14.Я5.1,indirect
A29,Семейные ценности и инфраструктура культуры,Культурно-просветительские программы для школьников,479 программ,2.14.Я5.2,direct
A30,Семейные ценности и инфраструктура культуры,Конкурс «Это у нас семейное»,600 тыс. участников,2.14.Я5.1,direct
A31,Семейные ценности и инфраструктура культуры,Пушкинская карта,не менее 280 млн билетов,2.14.Я5.2,direct
A31,Семейные ценности и инфраструктура культуры,Пушкинская карта,не менее 280 млн билетов,2.14.Я.6,indirect
