region_code_1,region_name_1,region_code_2,region_name_2
63,Самарская область,73,Ульяновская область
63,Самарская область,64,Саратовская область
64,Саратовская область,68,Тамбовская область
64,Саратовская область,73,Ульяновская область
66,Свердловская область,72,Тюменская область
66,Свердловская область,74,Челябинская область
66,Свердловская область,86,Ханты-Мансийский автономный округ - Югра
67,Смоленская область,69,Тверская область
69,Тверская область,76,Ярославская область
70,Томская область,72,Тюменская область
70,Томская область,86,Ханты-Мансийский автономный округ - Югра
72,Тюменская область,86,Ханты-Мансийский автономный округ - Югра
83,Ненецкий автономный округ,89,Ямало-Ненецкий автономный округ
86,Ханты-Мансийский автономный округ - Югра,89,Ямало-Ненецкий автономный округ
90,Запорожская область,95,Херсонская область
90,Запорожская область,93,Донецкая Народная Республика
91,Республика Крым,95,Херсонская область
91,Республика Крым,92,Севастополь
93,Донецкая Народная Республика,94,Луганская Народная Республика
